Repository,Task,Complex,Lang,Docs,Active
khammernik/sigmanet,Reconstruction,Yes,Python,No,No
mrfil/PowerGrid,Reconstruction,Yes,C++,No,No
NKI-AI/direct,Reconstruction,Yes,Python,Yes,Yes
rmsouza01/MC-MRI-Rec,Reconstruction,Yes,Python,Yes,No
yang-song/score_inverse_problems,Reconstruction,Yes,Python,No,No
zaccharieramzi/fastmri-reproducible-benchmark,Reconstruction,Yes,Python,Yes,No
PennLINC/qsiANAp,Diffusion MRI,Yes,Python,Yes,Yes
gift-surg/NiftyMIC,Reconstruction,No,Python,Yes,No
BioMedIA/MIRTK,Registration,No,C++,Yes,No
DeeANAgNet/DeeANAg,Registration,No,Python,Yes,No
adalca/neurite,Segmentation,No,Python,No,Yes
black0017/MedicalZooPytorch,Segmentation,No,Python,No,No
DLTK/DLTK,Segmentation,No,Python,Yes,No
frankkramer-lab/MIScnn,Segmentation,No,Python,Yes,No
HiLab-git/PyMIC,Segmentation,No,Python,Yes,Yes
HiLab-git/SSL4MIS,Segmentation,No,Python,No,Yes
ITISFoundation/osparc-iseg,Segmentation,No,C++,No,Yes
koriavinash1/DeepBrainSeg,Segmentation,No,Python,Yes,Yes
marc-gorriz/CEAL-Medical-Image-Segmentation,Segmentation,No,Python,No,No
MIC-DKFZ/nnUNet,Segmentation,No,Python,Yes,Yes
neuronets/nobrainer,Segmentation,No,Python,Yes,Yes
neuronflow/BraTS-Toolkit,Segmentation,No,Python,Yes,Yes
NifTK/NiftyNet,Segmentation,No,Python,Yes,No
perone/medicaltorch,Segmentation,No,Python,Yes,Yes
pyushkevich/itksnap,Segmentation,No,C++,Yes,Yes
yhygao/CBIM-Medical-Image-Segmentation,Segmentation,No,Python,No,Yes
microsoft/InnerEye-DeepLearning,Segmentation,No,Python,Yes,Yes
modelhub-ai/modelhub,Segmentation,No,Python,Yes,No
QTIM-Lab/DeepNeuro,Segmentation,No,Python,Yes,No
MR-HosseinzadehTaher/BenchmarkTransferLearning,Evaluation,No,Python,No,Yes
IMTtugraz/PyQMRI,quantitative MRI,Yes,Python,Yes,Yes
lamyj/erwin,quantitative MRI,Yes,Python,Yes,Yes
qMRLab/qMRLab,quantitative MRI,Yes,MATLAB,Yes,Yes
MMIV-ML/fastMONAI,Analysis,No,Python,Yes,Yes
MMIV-ML/fastMONAI,Evaluation,No,Python,Yes,Yes
MMIV-ML/fastMONAI,Reconstruction,No,Python,Yes,Yes
MMIV-ML/fastMONAI,Registration,No,Python,Yes,Yes
MMIV-ML/fastMONAI,Segmentation,No,Python,Yes,Yes
Project-MONAI/MONAI,Analysis,Yes,Python,Yes,Yes
Project-MONAI/MONAI,Evaluation,Yes,Python,Yes,Yes
Project-MONAI/MONAI,Reconstruction,Yes,Python,Yes,Yes
Project-MONAI/MONAI,Registration,Yes,Python,Yes,Yes
Project-MONAI/MONAI,Segmentation,Yes,Python,Yes,Yes
ad12/DOSMA,Analysis,Yes,Python,Yes,No
ad12/DOSMA,Evaluation,Yes,Python,Yes,No
ad12/DOSMA,Registration,Yes,Python,Yes,No
ad12/DOSMA,Segmentation,Yes,Python,Yes,No
ANTsX/ANTsPyNet,Analysis,No,Python,Yes,Yes
ANTsX/ANTsPyNet,Computational,No,Python,Yes,Yes
ANTsX/ANTsPyNet,Evaluation,No,Python,Yes,Yes
ANTsX/ANTsPyNet,Segmentation,No,Python,Yes,Yes
StanfordMIMI/skm-tea,Analysis,Yes,Python,Yes,No
StanfordMIMI/skm-tea,Reconstruction,Yes,Python,Yes,No
StanfordMIMI/skm-tea,Segmentation,Yes,Python,Yes,No
StanfordMIMI/skm-tea,quantitative MRI,Yes,Python,Yes,No
wdika/ATOMMIC,Analysis,Yes,Python,Yes,Yes
wdika/ATOMMIC,Evaluation,Yes,Python,Yes,Yes
wdika/ATOMMIC,Reconstruction,Yes,Python,Yes,Yes
wdika/ATOMMIC,Segmentation,Yes,Python,Yes,Yes
wdika/ATOMMIC,quantitative MRI,Yes,Python,Yes,Yes
